epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1566.14,2.26604,0.17391,0.68116,2.21583,9.85714e-05,3.28571e-05,9.85714e-05,3.28571e-05,0.0672414,0.0671757,9.85714e-05,3.28571e-05
2,2305.57,2.23166,0.17391,0.68116,2.18926,0.00019464,6.48799e-05,0.00019464,6.48799e-05,0.0340042,0.0338744,0.00019464,6.48799e-05
3,2813.01,2.20758,0.15942,0.66667,2.18568,0.000286748,9.55827e-05,0.000286748,9.55827e-05,0.000762938,0.000571773,0.000286748,9.55827e-05
4,3233.7,2.19662,0.17391,0.68116,2.18731,0.00028218,9.406e-05,0.00028218,9.406e-05,0.00028218,9.406e-05,0.00028218,9.406e-05
5,3586.57,2.20263,0.2029,0.66667,2.17134,0.00027624,9.208e-05,0.00027624,9.208e-05,0.00027624,9.208e-05,0.00027624,9.208e-05
6,4031.5,2.17075,0.21739,0.63768,2.17201,0.0002703,9.01e-05,0.0002703,9.01e-05,0.0002703,9.01e-05,0.0002703,9.01e-05
7,4482.18,2.14766,0.18841,0.65217,2.10179,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05
8,4950.07,2.14921,0.18841,0.66667,2.17446,0.00025842,8.614e-05,0.00025842,8.614e-05,0.00025842,8.614e-05,0.00025842,8.614e-05
9,5340.82,2.13184,0.2029,0.71014,2.13758,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
10,5761.75,2.13152,0.24638,0.71014,2.05774,0.00024654,8.218e-05,0.00024654,8.218e-05,0.00024654,8.218e-05,0.00024654,8.218e-05
11,6179.35,2.12541,0.23188,0.72464,2.07137,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
12,6577.11,2.10623,0.31884,0.73913,2.01359,0.00023466,7.822e-05,0.00023466,7.822e-05,0.00023466,7.822e-05,0.00023466,7.822e-05
13,6997.9,2.0898,0.27536,0.71014,2.02375,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
14,7413.96,2.08134,0.30435,0.72464,2.04194,0.00022278,7.426e-05,0.00022278,7.426e-05,0.00022278,7.426e-05,0.00022278,7.426e-05
15,7813.93,2.05202,0.27536,0.72464,1.94501,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
16,9779.94,2.0547,0.34783,0.73913,1.97725,0.0002109,7.03e-05,0.0002109,7.03e-05,0.0002109,7.03e-05,0.0002109,7.03e-05
17,10035.9,2.05337,0.30435,0.73913,1.94859,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
18,10317.7,2.02304,0.33333,0.75362,1.9679,0.00019902,6.634e-05,0.00019902,6.634e-05,0.00019902,6.634e-05,0.00019902,6.634e-05
19,10604.6,2.0269,0.33333,0.75362,1.95697,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
20,10886.5,2.03337,0.33333,0.81159,1.95477,0.00018714,6.238e-05,0.00018714,6.238e-05,0.00018714,6.238e-05,0.00018714,6.238e-05
21,11141.3,2.00625,0.34783,0.78261,1.91149,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
22,11429.4,1.97917,0.34783,0.7971,1.88403,0.00017526,5.842e-05,0.00017526,5.842e-05,0.00017526,5.842e-05,0.00017526,5.842e-05
23,11721.8,1.9789,0.30435,0.82609,1.91937,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
24,12028,1.95413,0.37681,0.84058,1.89421,0.00016338,5.446e-05,0.00016338,5.446e-05,0.00016338,5.446e-05,0.00016338,5.446e-05
25,12571.6,1.97319,0.42029,0.84058,1.89903,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
26,13121.1,1.96169,0.3913,0.84058,1.83923,0.0001515,5.05e-05,0.0001515,5.05e-05,0.0001515,5.05e-05,0.0001515,5.05e-05
27,13699.2,1.95727,0.34783,0.85507,1.80085,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
28,14274.9,1.92716,0.3913,0.85507,1.84227,0.00013962,4.654e-05,0.00013962,4.654e-05,0.00013962,4.654e-05,0.00013962,4.654e-05
29,14657.3,1.93714,0.3913,0.84058,1.79578,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
30,15079.2,1.91038,0.34783,0.88406,1.77626,0.00012774,4.258e-05,0.00012774,4.258e-05,0.00012774,4.258e-05,0.00012774,4.258e-05
31,15491.1,1.90297,0.3913,0.86957,1.79267,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05
32,15920.9,1.90856,0.42029,0.89855,1.74299,0.00011586,3.862e-05,0.00011586,3.862e-05,0.00011586,3.862e-05,0.00011586,3.862e-05
33,16314.5,1.89655,0.42029,0.89855,1.78862,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05
34,16753.7,1.88276,0.42029,0.88406,1.79428,0.00010398,3.466e-05,0.00010398,3.466e-05,0.00010398,3.466e-05,0.00010398,3.466e-05
35,17212.3,1.90034,0.4058,0.86957,1.72143,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05
36,17665.2,1.86813,0.42029,0.91304,1.79942,9.21e-05,3.07e-05,9.21e-05,3.07e-05,9.21e-05,3.07e-05,9.21e-05,3.07e-05
37,18054.5,1.86566,0.4058,0.89855,1.7255,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05
38,18504.9,1.87324,0.43478,0.89855,1.75663,8.022e-05,2.674e-05,8.022e-05,2.674e-05,8.022e-05,2.674e-05,8.022e-05,2.674e-05
39,18985.2,1.84658,0.43478,0.91304,1.70661,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05
40,19491.7,1.86064,0.44928,0.91304,1.74735,6.834e-05,2.278e-05,6.834e-05,2.278e-05,6.834e-05,2.278e-05,6.834e-05,2.278e-05
41,19913.2,1.82681,0.44928,0.86957,1.67076,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05
42,20390.3,1.83683,0.42029,0.91304,1.76362,5.646e-05,1.882e-05,5.646e-05,1.882e-05,5.646e-05,1.882e-05,5.646e-05,1.882e-05
43,20855.2,1.85902,0.42029,0.89855,1.7033,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05
44,21364.7,1.85569,0.4058,0.91304,1.71106,4.458e-05,1.486e-05,4.458e-05,1.486e-05,4.458e-05,1.486e-05,4.458e-05,1.486e-05
45,21790.6,1.84555,0.4058,0.89855,1.69132,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05
46,22212.2,1.84453,0.4058,0.91304,1.71303,3.27e-05,1.09e-05,3.27e-05,1.09e-05,3.27e-05,1.09e-05,3.27e-05,1.09e-05
47,22645.6,1.8295,0.43478,0.91304,1.68052,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06
48,23061.5,1.81748,0.42029,0.89855,1.67206,2.082e-05,6.94e-06,2.082e-05,6.94e-06,2.082e-05,6.94e-06,2.082e-05,6.94e-06
49,23478.6,1.83626,0.43478,0.91304,1.77197,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06
50,23918.4,1.83563,0.42029,0.88406,1.70542,8.94e-06,2.98e-06,8.94e-06,2.98e-06,8.94e-06,2.98e-06,8.94e-06,2.98e-06
