epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.4408,2.26397,0.2029,0.69565,2.25757,0.000971429,0.00032381,0.000971429,0.00032381,0.0685905,0.0679429,0.000971429,0.00032381
2,152.412,2.21786,0.24638,0.71014,2.11611,0.00193239,0.000644131,0.00193239,0.000644131,0.0362181,0.0349298,0.00193239,0.000644131
3,196.264,2.11935,0.23188,0.66667,2.31612,0.00285376,0.000951253,0.00285376,0.000951253,0.00380614,0.00190363,0.00285376,0.000951253
4,236.963,2.00684,0.27536,0.69565,2.01401,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,274.522,1.82852,0.30435,0.73913,1.88612,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,315.001,1.70361,0.33333,0.95652,1.86789,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,356.262,1.56135,0.36232,0.92754,1.58418,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,400.011,1.41635,0.42029,0.88406,1.4351,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,438.173,1.29642,0.50725,0.98551,1.10328,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,479.274,1.30532,0.44928,0.97101,1.33749,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,520.907,1.23055,0.4058,0.97101,1.20122,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,561.845,1.18514,0.56522,0.98551,1.14092,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,599.06,1.19838,0.52174,0.97101,1.08359,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,641.121,1.09094,0.46377,0.98551,1.29499,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,681.491,1.06078,0.52174,1,1.38575,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,721.899,1.09102,0.49275,1,1.11697,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,759.199,1.07874,0.49275,0.98551,1.15673,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,799.418,1.01453,0.52174,1,1.24123,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,840.108,1.05114,0.56522,0.98551,1.0306,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,881.163,1.05013,0.55072,0.98551,0.89575,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,918.623,0.97337,0.57971,0.98551,0.94658,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,958.854,0.97584,0.53623,0.98551,1.21343,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,999.318,1.02452,0.63768,0.98551,1.06071,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,1039.59,1.03624,0.6087,0.98551,1.00438,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,1077.06,0.92482,0.56522,0.98551,1.1954,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,1117.34,1.02508,0.5942,0.97101,1.24702,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,1159,0.98368,0.6087,0.98551,1.14577,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,1199.73,0.9387,0.63768,0.98551,0.75687,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,1237.22,0.93237,0.63768,0.97101,1.13151,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,1277.69,0.90699,0.6087,0.97101,1.14154,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,1318.46,0.94818,0.62319,0.98551,1.3212,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,1358.99,0.98384,0.53623,0.98551,1.23101,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,1396.58,0.95505,0.6087,0.97101,0.9235,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,1437.25,0.86938,0.62319,0.98551,1.03712,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,1477.94,0.92855,0.5942,1,1.04502,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,1518.63,0.88244,0.5942,0.97101,1.22847,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,1556,0.92359,0.6087,0.98551,0.89453,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,1596.52,0.87346,0.63768,1,0.85479,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,1637.14,0.85712,0.66667,1,0.74444,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,1677.64,0.87971,0.65217,0.98551,0.92164,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,1715.27,0.85226,0.62319,0.98551,0.94268,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,1755.77,0.86878,0.62319,0.97101,0.96862,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,1796.48,0.85288,0.5942,0.97101,1.21396,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,1836.99,0.92656,0.65217,0.98551,0.87689,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,1874.5,0.80573,0.66667,0.97101,1.0207,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,1915.37,0.86263,0.66667,0.97101,1.01855,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,1955.9,0.77061,0.6087,0.97101,1.0245,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,1996.83,0.86491,0.5942,1,1.05808,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,2034.59,0.84632,0.65217,0.97101,1.22333,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,2075.71,0.79818,0.66667,0.97101,1.18478,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
