epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,816.656,2.27458,0.18841,0.62319,2.18933,0.000971429,0.00032381,0.000971429,0.00032381,0.0685905,0.0679429,0.000971429,0.00032381
2,1298.34,2.21395,0.18841,0.66667,2.11666,0.00193239,0.000644131,0.00193239,0.000644131,0.0362181,0.0349298,0.00193239,0.000644131
3,1628.94,2.15002,0.18841,0.73913,2.10457,0.00285376,0.000951253,0.00285376,0.000951253,0.00380614,0.00190363,0.00285376,0.000951253
4,1930.93,2.05592,0.24638,0.82609,1.99524,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,2209.56,1.89094,0.28986,0.7971,1.97963,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,2517.54,1.77459,0.4058,0.94203,1.6901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,2823.88,1.61026,0.44928,0.95652,1.57259,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,3133.93,1.52736,0.56522,0.98551,1.2882,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,3408.76,1.42314,0.6087,1,1.14986,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,3738.78,1.33374,0.6087,1,0.90996,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,4045.48,1.26236,0.65217,0.98551,0.93906,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,4348.11,1.22054,0.6087,1,0.99384,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,4620.3,1.10727,0.63768,0.98551,0.89694,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,4922.49,1.20976,0.6087,0.97101,0.92806,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,5230.51,1.09722,0.71014,0.98551,0.8197,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,5535.62,1.10567,0.6087,1,0.93393,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,5807.9,1.14616,0.65217,1,0.87351,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,6111.15,1.07429,0.63768,1,1.04467,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,6416.7,1.07309,0.65217,1,1.12067,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,6720.5,1.06451,0.63768,0.98551,0.78636,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,7000.76,1.01508,0.63768,0.97101,0.88707,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,7306.63,1.04807,0.65217,0.98551,0.75169,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,7608.07,1.05559,0.66667,0.97101,1.00507,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,7910.61,1.05579,0.65217,1,0.74783,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,8184.35,1.03956,0.68116,1,0.80277,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,8488.4,0.97804,0.65217,0.98551,1.05085,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,8790.01,0.94771,0.63768,0.98551,0.75064,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,9095.24,0.91205,0.63768,0.98551,0.86524,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,9368.81,0.98459,0.65217,0.98551,0.7718,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,9672.28,1.01323,0.65217,0.98551,1.1569,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,9974.18,0.87159,0.65217,0.98551,0.7791,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,10277.9,0.97586,0.71014,0.98551,0.95066,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,10549.5,0.91769,0.66667,0.98551,0.79451,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,10854.3,0.91737,0.62319,0.98551,1.03652,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,11159.5,0.95021,0.65217,0.98551,0.7411,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
