epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1285.09,2.2591,0.15942,0.69565,2.20599,9.71429e-05,3.2381e-05,9.71429e-05,3.2381e-05,0.0677162,0.0676514,9.71429e-05,3.2381e-05
2,2054.52,2.24931,0.18841,0.69565,2.08133,0.000189336,6.3112e-05,0.000189336,6.3112e-05,0.0344751,0.0343488,0.000189336,6.3112e-05
3,2715.84,2.2231,0.17391,0.62319,2.2457,0.000273609,9.1203e-05,0.000273609,9.1203e-05,0.00122599,0.00104358,0.000273609,9.1203e-05
4,3288.41,2.21894,0.15942,0.65217,2.20415,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05
5,3791.59,2.1906,0.23188,0.65217,2.19165,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
6,4344.87,2.21235,0.21739,0.65217,2.33176,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
7,4832.31,2.18344,0.23188,0.63768,2.1325,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
8,5317.08,2.16105,0.21739,0.66667,2.23622,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
9,5949.17,2.15299,0.27536,0.68116,2.1102,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
10,6531.3,2.14547,0.27536,0.71014,2.09856,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
11,7081.91,2.11085,0.30435,0.72464,2.01107,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
12,7619.6,2.12307,0.30435,0.75362,2.02995,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
13,8111,2.12246,0.26087,0.75362,2.08758,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
14,8642.05,2.09229,0.27536,0.71014,2.03362,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
