epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1401.26,2.30921,0.11594,0.57971,2.29816,0.00051,0.00017,0.00051,0.00017,0.08351,0.08317,0.00051,0.00017
2,2717.35,2.23793,0.21739,0.66667,2.23385,0.00100842,0.00033614,0.00100842,0.00033614,0.0660084,0.0653361,0.00100842,0.00033614
3,3884.44,2.21164,0.2029,0.63768,2.04163,0.00146407,0.000488024,0.00146407,0.000488024,0.0484641,0.047488,0.00146407,0.000488024
4,4621.59,2.18654,0.18841,0.69565,2.12714,0.00187696,0.000625652,0.00187696,0.000625652,0.030877,0.0296257,0.00187696,0.000625652
5,5270.48,2.13687,0.18841,0.73913,2.10665,0.00224707,0.000749024,0.00224707,0.000749024,0.0132471,0.011749,0.00224707,0.000749024
6,5914.86,2.10024,0.23188,0.69565,2.18931,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
7,6543.49,2.00639,0.28986,0.73913,1.94824,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
8,7173.27,1.90157,0.43478,0.91304,1.86354,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
9,7800.95,1.80079,0.49275,0.91304,1.62699,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
10,8430.33,1.67584,0.57971,0.91304,1.32138,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
11,9054.77,1.6018,0.49275,0.94203,1.44207,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
12,9684.33,1.47987,0.57971,0.95652,1.13694,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
13,10322.1,1.464,0.56522,0.95652,1.15835,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
14,10962.8,1.37631,0.62319,0.98551,1.12733,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
15,11605.5,1.35408,0.62319,0.98551,0.96204,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
16,12226.6,1.26069,0.5942,0.98551,1.22107,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
17,12879.1,1.25591,0.66667,1,1.00356,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
18,13499.6,1.23324,0.63768,1,1.1417,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
19,14133,1.20902,0.5942,1,1.32777,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
20,14758.3,1.19146,0.66667,0.98551,0.80584,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
21,15379.2,1.18383,0.68116,0.98551,0.79895,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
22,15993.2,1.17088,0.63768,0.98551,0.84579,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
23,16604.6,1.15908,0.65217,1,0.98107,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
24,17217.7,1.12188,0.66667,0.98551,0.86279,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
25,17850.2,1.10886,0.65217,1,1.02065,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
