epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,131.395,2.25219,0.23188,0.66667,2.19561,0.00985714,0.00328571,0.00985714,0.00328571,0.077,0.0704286,0.00985714,0.00328571
2,195.863,1.96907,0.26087,0.92754,1.91559,0.0190708,0.00635693,0.0190708,0.00635693,0.0528803,0.0401665,0.0190708,0.00635693
3,241.084,1.63429,0.4058,0.88406,1.74876,0.0274925,0.00916415,0.0274925,0.00916415,0.0279686,0.00964034,0.0274925,0.00916415
4,282.281,1.46886,0.50725,0.98551,1.29079,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,320.996,1.44646,0.55072,0.98551,1.17907,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,362.417,1.44095,0.3913,0.91304,1.67078,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,403.407,1.38739,0.49275,0.98551,1.31605,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,444.841,1.27883,0.57971,0.97101,1.37067,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,483.279,1.29076,0.57971,0.98551,0.94015,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,524.784,1.18248,0.50725,1,1.14341,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,566.594,1.19333,0.57971,1,0.86961,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,608.243,1.18227,0.5942,0.97101,0.94519,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,646.569,1.1139,0.65217,1,0.8642,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,688.596,1.02744,0.6087,1,0.95264,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,730.766,1.02702,0.6087,0.98551,0.97842,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,772.764,1.00772,0.63768,1,0.98186,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,811.598,0.95004,0.62319,1,0.91268,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,853.489,0.95009,0.65217,0.98551,1.07525,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,895.138,0.98294,0.62319,0.98551,0.92123,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,937.676,0.91787,0.62319,0.98551,0.86657,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,977.227,0.87705,0.65217,0.98551,0.82059,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,1019.08,0.88873,0.62319,0.98551,0.99811,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,1061.12,0.85579,0.65217,0.98551,1.00471,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,1103.19,0.82845,0.65217,0.98551,0.9083,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,1141.87,0.75468,0.66667,0.98551,1.02194,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
