epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,443.087,2.28264,0.14493,0.66667,2.2676,0.0051,0.0017,0.0051,0.0017,0.0881,0.0847,0.0051,0.0017
2,885.037,2.15862,0.18841,0.68116,2.20171,0.0100842,0.0033614,0.0100842,0.0033614,0.0750842,0.0683614,0.0100842,0.0033614
3,1274.68,1.96706,0.30435,0.82609,1.73108,0.0146407,0.00488024,0.0146407,0.00488024,0.0616407,0.0518802,0.0146407,0.00488024
4,1506.83,1.71305,0.4058,0.88406,1.52371,0.0187696,0.00625652,0.0187696,0.00625652,0.0477696,0.0352565,0.0187696,0.00625652
5,1741.28,1.34657,0.46377,0.86957,1.63599,0.0224707,0.00749024,0.0224707,0.00749024,0.0334707,0.0184902,0.0224707,0.00749024
6,1982.23,1.28488,0.44928,0.78261,1.90942,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,2216.77,1.26079,0.34783,0.94203,2.14646,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,2448.03,1.16933,0.52174,0.98551,1.60674,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,2683.33,1.09334,0.63768,0.98551,0.82987,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,2917.49,1.10662,0.65217,1,0.69365,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,3150.32,1.0117,0.62319,0.98551,1.19863,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,3381.35,0.94904,0.62319,1,0.92793,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,3615.31,0.78498,0.73913,1,0.7775,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,3849.69,0.85881,0.69565,0.98551,0.83341,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,4080.58,0.80101,0.66667,0.98551,0.81491,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,4313.16,0.79315,0.63768,1,0.93795,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,4550.39,0.77552,0.57971,0.94203,1.04298,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,4781.36,0.78103,0.66667,0.98551,1.54182,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,5000.9,0.7452,0.62319,1,1.21249,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,5212.64,0.76178,0.65217,0.97101,0.78263,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,5437.83,0.6393,0.69565,1,0.61973,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,5685.28,0.7149,0.66667,0.98551,0.5314,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,5911.34,0.66162,0.68116,0.98551,1.1553,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,6133.28,0.61198,0.69565,0.98551,0.70952,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,6360.55,0.66438,0.71014,0.98551,0.643,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
