epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.621,2.26644,0.2029,0.69565,2.16604,0.000985714,0.000328571,0.000985714,0.000328571,0.0681286,0.0674714,0.000985714,0.000328571
2,199.653,2.21534,0.26087,0.78261,2.06715,0.00190708,0.000635693,0.00190708,0.000635693,0.0357166,0.0344452,0.00190708,0.000635693
3,244.31,2.13806,0.21739,0.75362,2.18437,0.00274925,0.000916415,0.00274925,0.000916415,0.00322544,0.00139261,0.00274925,0.000916415
4,285.141,2.02576,0.26087,0.84058,1.97849,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
5,324.026,1.87449,0.3913,0.88406,1.76429,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
6,365.463,1.77865,0.37681,0.98551,1.68846,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
7,406.564,1.61204,0.4058,0.94203,1.47103,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
8,447.755,1.54481,0.37681,0.97101,1.52659,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
9,485.392,1.43089,0.42029,0.97101,1.35864,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
10,527.23,1.39119,0.44928,0.97101,1.27798,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
11,568.726,1.3264,0.42029,0.95652,1.37481,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
12,610.078,1.28146,0.49275,0.98551,1.25943,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
13,647.764,1.25254,0.47826,0.97101,1.18862,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
14,688.95,1.2335,0.47826,0.97101,1.16166,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
15,730.11,1.18697,0.46377,0.97101,1.33984,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
16,771.382,1.23229,0.49275,0.95652,1.20289,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
17,809.263,1.23023,0.53623,0.98551,1.08392,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
18,850.603,1.19714,0.52174,0.97101,1.12528,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
19,891.787,1.15036,0.52174,1,1.0443,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
20,938.938,1.15622,0.50725,0.98551,1.00514,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
21,976.938,1.14533,0.55072,0.98551,1.00602,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
22,1018.33,1.14363,0.50725,0.98551,1.0751,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
23,1059.74,1.17762,0.55072,0.98551,1.09954,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
24,1100.91,1.16339,0.53623,0.97101,1.03468,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
25,1138.72,1.12394,0.50725,0.97101,1.10958,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
