epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,457.157,2.32742,0.18841,0.66667,2.19416,5.1e-05,1.7e-05,5.1e-05,1.7e-05,0.083051,0.083017,5.1e-05,1.7e-05
2,911.578,2.24856,0.17391,0.66667,2.2163,0.000100842,3.3614e-05,0.000100842,3.3614e-05,0.0651008,0.0650336,0.000100842,3.3614e-05
3,1310.82,2.22138,0.15942,0.66667,2.15227,0.000146407,4.88024e-05,0.000146407,4.88024e-05,0.0471464,0.0470488,0.000146407,4.88024e-05
4,1552.82,2.22457,0.18841,0.66667,2.17419,0.000187696,6.25652e-05,0.000187696,6.25652e-05,0.0291877,0.0290626,0.000187696,6.25652e-05
5,1797.04,2.23171,0.17391,0.68116,2.24705,0.000224707,7.49024e-05,0.000224707,7.49024e-05,0.0112247,0.0110749,0.000224707,7.49024e-05
6,2032.19,2.20943,0.2029,0.68116,2.25222,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
7,2279.06,2.1953,0.18841,0.68116,2.07012,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
8,2524.49,2.18453,0.2029,0.66667,2.36609,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
9,2765.72,2.17111,0.18841,0.65217,2.26893,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
10,2996.88,2.15813,0.21739,0.68116,2.0455,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
11,3232.95,2.18239,0.21739,0.65217,2.14272,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
12,3473.3,2.17065,0.2029,0.69565,2.03807,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
13,3707.07,2.15047,0.21739,0.71014,2.08991,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
14,3943.53,2.13441,0.21739,0.66667,2.17642,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
15,4180.63,2.12064,0.23188,0.65217,1.94603,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
16,4418.71,2.12202,0.23188,0.66667,2.13247,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05
17,4649.74,2.11938,0.18841,0.68116,1.98622,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05
18,4886.99,2.09433,0.21739,0.66667,2.12539,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05
19,5116.12,2.10156,0.23188,0.71014,2.08499,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05
20,5346.7,2.11515,0.21739,0.66667,2.18532,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05
21,5576.13,2.10422,0.23188,0.68116,2.05929,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05
22,5818.87,2.09197,0.24638,0.71014,1.97669,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05
23,6058.62,2.11171,0.24638,0.71014,2.12649,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05
24,6296.13,2.10933,0.24638,0.69565,2.11745,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06
25,6531.33,2.09389,0.23188,0.68116,2.16053,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06
