epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.7691,2.34552,0.21739,0.68116,2.27275,0.00039,0.00013,0.00039,0.00013,0.08739,0.08713,0.00039,0.00013
2,88.1247,2.28156,0.18841,0.65217,2.29611,0.000793962,0.000264654,0.000793962,0.000264654,0.073794,0.0732647,0.000793962,0.000264654
3,118.279,2.23895,0.15942,0.6087,2.17548,0.00118129,0.000393764,0.00118129,0.000393764,0.0601813,0.0593938,0.00118129,0.000393764
4,144.839,2.18656,0.17391,0.5942,2.29672,0.00155199,0.00051733,0.00155199,0.00051733,0.046552,0.0455173,0.00155199,0.00051733
5,169.22,2.13444,0.17391,0.66667,2.34946,0.00190606,0.000635352,0.00190606,0.000635352,0.0329061,0.0316354,0.00190606,0.000635352
6,193.241,2.10546,0.18841,0.63768,2.24314,0.00224349,0.00074783,0.00224349,0.00074783,0.0192435,0.0177478,0.00224349,0.00074783
7,209.939,2.06898,0.18841,0.65217,2.15048,0.00256429,0.000854764,0.00256429,0.000854764,0.00556429,0.00385476,0.00256429,0.000854764
8,230.216,2.01136,0.34783,0.75362,2.08602,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,247.31,1.91558,0.42029,0.82609,1.85441,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,268.597,1.88303,0.37681,0.84058,1.82885,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,286.201,1.77242,0.30435,0.84058,1.86805,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,306.187,1.78829,0.37681,0.84058,1.61371,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,322.561,1.68192,0.47826,0.92754,1.53428,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,342.384,1.64183,0.43478,0.89855,1.60658,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,359.474,1.55241,0.43478,0.92754,1.37002,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,379.954,1.52396,0.53623,0.97101,1.37792,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,397.259,1.38445,0.47826,0.95652,1.43086,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,417.741,1.37057,0.44928,1,1.37421,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,434.025,1.41442,0.49275,0.97101,1.5031,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,454.142,1.2924,0.49275,0.97101,1.15052,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,471.128,1.21776,0.50725,0.95652,1.17957,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,492.186,1.25223,0.63768,0.94203,1.01374,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,509.328,1.10428,0.5942,0.95652,1.43167,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,530.009,1.20993,0.55072,0.94203,1.2608,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,546.907,1.21492,0.55072,0.97101,1.18743,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,566.702,1.16981,0.5942,1,1.03594,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,583.089,1.16897,0.62319,0.95652,1.0508,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,603.594,1.13566,0.56522,0.98551,1.17953,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,620.154,1.14084,0.55072,0.94203,1.09444,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,641.122,1.11554,0.56522,1,0.96726,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,657.744,1.13104,0.6087,1,0.99526,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,678.904,1.06359,0.55072,1,1.09505,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,696.803,1.08251,0.56522,0.97101,1.07255,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,717.109,1.10978,0.5942,0.98551,1.14966,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,734.136,1.07258,0.5942,1,0.85172,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,754.54,1.0644,0.57971,1,0.95457,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,771.103,1.0425,0.56522,0.97101,0.96099,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,792.171,1.03796,0.5942,0.97101,1.03815,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,808.939,1.03704,0.6087,1,0.90513,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,828.418,1.08359,0.57971,1,0.84136,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,844.954,0.9584,0.5942,1,0.82042,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,865.063,1.03377,0.5942,1,1.00476,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,881.939,1.01754,0.66667,1,0.89179,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,902.271,0.99465,0.65217,1,0.76952,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,919.358,1.11632,0.62319,1,0.87952,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
