epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1104.65,2.28522,0.17391,0.62319,2.21279,9.71429e-05,3.2381e-05,9.71429e-05,3.2381e-05,0.0677162,0.0676514,9.71429e-05,3.2381e-05
2,1785.81,2.23943,0.17391,0.68116,2.195,0.000189336,6.3112e-05,0.000189336,6.3112e-05,0.0344751,0.0343488,0.000189336,6.3112e-05
3,2245.16,2.21141,0.14493,0.68116,2.16612,0.000273609,9.1203e-05,0.000273609,9.1203e-05,0.00122599,0.00104358,0.000273609,9.1203e-05
4,2610.81,2.19872,0.14493,0.66667,2.17704,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05
5,2826.82,2.20691,0.18841,0.65217,2.21794,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
6,3065.83,2.181,0.2029,0.66667,2.2081,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
7,3299.64,2.15007,0.2029,0.65217,2.07494,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
8,3535.06,2.15007,0.21739,0.66667,2.23734,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
9,3747.72,2.13337,0.21739,0.68116,2.16533,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
10,3988.51,2.11616,0.23188,0.69565,2.0278,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
11,4227.66,2.13156,0.23188,0.69565,2.09654,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
12,4465.23,2.118,0.24638,0.69565,2.02159,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
13,4678.56,2.09557,0.24638,0.71014,2.03455,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
14,4919.27,2.08963,0.23188,0.72464,2.0921,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
15,5179.61,2.0676,0.23188,0.73913,1.94327,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
16,5421.36,2.05641,0.26087,0.72464,2.03802,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05
17,5628.83,2.05527,0.26087,0.73913,1.95544,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05
18,5869.29,2.04966,0.21739,0.72464,2.05975,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05
19,6110.44,2.03709,0.24638,0.72464,2.00823,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05
20,6356.31,2.03365,0.26087,0.72464,2.07604,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05
21,6571.55,2.03179,0.27536,0.73913,1.99947,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05
22,6811.65,2.02354,0.27536,0.73913,1.9283,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05
23,7048.73,2.05162,0.24638,0.75362,2.03252,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05
24,7287.37,2.03489,0.27536,0.75362,2.01379,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06
25,7504.27,2.02202,0.24638,0.73913,2.04452,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06
