epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.7884,2.27546,0.15942,0.68116,2.28594,9.71429e-05,3.2381e-05,9.71429e-05,3.2381e-05,0.0677162,0.0676514,9.71429e-05,3.2381e-05
2,159.39,2.26,0.14493,0.69565,2.15521,0.000189336,6.3112e-05,0.000189336,6.3112e-05,0.0344751,0.0343488,0.000189336,6.3112e-05
3,204.729,2.23376,0.15942,0.69565,2.23306,0.000273609,9.1203e-05,0.000273609,9.1203e-05,0.00122599,0.00104358,0.000273609,9.1203e-05
4,247.912,2.23208,0.21739,0.72464,2.14716,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05
5,287.427,2.19917,0.2029,0.75362,2.17878,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
6,330.134,2.17786,0.26087,0.7971,2.20408,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
7,373.901,2.16557,0.26087,0.81159,2.08851,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
8,417.103,2.12347,0.21739,0.82609,2.12814,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
9,456.066,2.10794,0.2029,0.82609,2.13301,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
10,499.087,2.10068,0.27536,0.82609,2.12932,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
11,542.222,2.08808,0.24638,0.78261,1.97661,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
12,584.897,2.04012,0.21739,0.84058,2.06193,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
13,624.778,2.04613,0.27536,0.82609,2.03334,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
14,668.9,2.03956,0.24638,0.84058,2.00747,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
15,712.145,2.00904,0.23188,0.84058,2.07844,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
16,784.4,2.01919,0.27536,0.85507,1.92204,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05
17,845.376,1.99103,0.30435,0.86957,1.98606,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05
18,912.669,1.99231,0.26087,0.85507,1.87988,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05
19,983.112,1.96149,0.27536,0.82609,1.86049,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05
20,1052.83,1.97227,0.31884,0.85507,1.81643,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05
21,1112.66,1.94384,0.30435,0.85507,1.89681,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05
22,1180.58,1.95471,0.30435,0.85507,2.02255,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05
23,1248.08,1.92335,0.31884,0.85507,1.90568,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05
24,1317.89,1.9448,0.31884,0.88406,1.90448,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06
25,1377.47,1.93523,0.31884,0.88406,1.96187,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06
