epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,442.531,2.32127,0.18841,0.62319,2.18653,0.00051,0.00017,0.00051,0.00017,0.08351,0.08317,0.00051,0.00017
2,890.282,2.2313,0.17391,0.63768,2.18465,0.00100842,0.00033614,0.00100842,0.00033614,0.0660084,0.0653361,0.00100842,0.00033614
3,1288.51,2.1958,0.17391,0.65217,2.06455,0.00146407,0.000488024,0.00146407,0.000488024,0.0484641,0.047488,0.00146407,0.000488024
4,1522.41,2.17455,0.18841,0.66667,2.12635,0.00187696,0.000625652,0.00187696,0.000625652,0.030877,0.0296257,0.00187696,0.000625652
5,1755.25,2.13369,0.21739,0.66667,2.16421,0.00224707,0.000749024,0.00224707,0.000749024,0.0132471,0.011749,0.00224707,0.000749024
6,1989.38,2.06886,0.28986,0.69565,2.1186,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
7,2226.9,1.97309,0.28986,0.78261,1.88508,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
8,2462.38,1.88696,0.37681,0.81159,2.01431,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
9,2698.55,1.78298,0.49275,0.91304,1.66041,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
10,2932.75,1.67195,0.49275,0.95652,1.44028,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
11,3180.98,1.57896,0.44928,0.92754,1.45535,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
12,3415.89,1.52551,0.55072,0.98551,1.2159,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
13,3653.05,1.41628,0.49275,0.92754,1.19322,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
14,3894.74,1.42326,0.52174,0.97101,1.29996,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
15,4127.88,1.32273,0.56522,0.98551,1.03858,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
16,4365.95,1.2838,0.50725,0.97101,1.2271,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
17,4601.54,1.31295,0.53623,0.97101,1.17447,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
18,4836.13,1.28124,0.57971,0.98551,1.00615,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
19,5069.88,1.22429,0.5942,0.98551,1.25182,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
20,5302.38,1.21555,0.55072,0.97101,0.89135,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
21,5536.44,1.1823,0.57971,0.97101,1.21962,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
22,5766.13,1.17704,0.5942,0.97101,0.85273,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
23,5995.7,1.20182,0.5942,0.97101,1.34725,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
24,6232.39,1.17882,0.62319,0.97101,0.94718,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
25,6468.2,1.20432,0.5942,0.97101,1.07659,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
