epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1204.85,2.31415,0.10145,0.52174,2.30016,5.1e-05,1.7e-05,5.1e-05,1.7e-05,0.083051,0.083017,5.1e-05,1.7e-05
2,2402.98,2.24997,0.18841,0.63768,2.27243,0.000100842,3.3614e-05,0.000100842,3.3614e-05,0.0651008,0.0650336,0.000100842,3.3614e-05
3,3437.88,2.24399,0.18841,0.69565,2.03396,0.000146407,4.88024e-05,0.000146407,4.88024e-05,0.0471464,0.0470488,0.000146407,4.88024e-05
4,4061.25,2.24389,0.17391,0.68116,2.18821,0.000187696,6.25652e-05,0.000187696,6.25652e-05,0.0291877,0.0290626,0.000187696,6.25652e-05
5,4709.25,2.23124,0.17391,0.71014,2.2766,0.000224707,7.49024e-05,0.000224707,7.49024e-05,0.0112247,0.0110749,0.000224707,7.49024e-05
6,5346.59,2.22071,0.2029,0.65217,2.28477,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
7,5964.07,2.22273,0.2029,0.68116,2.09675,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
8,6587.38,2.19439,0.17391,0.73913,2.34187,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
9,7205.83,2.1991,0.2029,0.72464,2.22287,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
10,7804.74,2.17868,0.18841,0.73913,1.96892,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
11,8403.65,2.17967,0.2029,0.69565,2.17592,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
12,8995.39,2.16279,0.18841,0.71014,1.97546,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
13,9583.97,2.14951,0.21739,0.72464,2.12214,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
14,10198.1,2.13496,0.23188,0.71014,2.11336,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
15,10978.4,2.13471,0.23188,0.72464,1.93577,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
16,11821.8,2.12411,0.21739,0.72464,2.19589,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05
17,12592.2,2.11523,0.21739,0.73913,2.01582,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05
18,13374.8,2.12533,0.21739,0.73913,2.092,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05
19,14195.3,2.13015,0.21739,0.72464,2.19044,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05
20,14999.5,2.1131,0.23188,0.76812,2.13757,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05
21,15810.3,2.13599,0.23188,0.75362,2.06944,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05
22,16596.9,2.11394,0.21739,0.76812,1.93823,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05
23,17378.5,2.09291,0.26087,0.76812,2.18869,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05
24,18026,2.1018,0.27536,0.75362,2.16508,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06
25,18657,2.10189,0.23188,0.76812,2.09909,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06
