epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,636.151,2.27458,0.18841,0.62319,2.18933,0.000971429,0.00032381,0.000971429,0.00032381,0.0685905,0.0679429,0.000971429,0.00032381
2,1018.46,2.21419,0.17391,0.66667,2.1172,0.00189336,0.00063112,0.00189336,0.00063112,0.0361791,0.0349168,0.00189336,0.00063112
3,1280.14,2.15163,0.18841,0.73913,2.10749,0.00273609,0.00091203,0.00273609,0.00091203,0.00368847,0.00186441,0.00273609,0.00091203
4,1520.95,2.06219,0.24638,0.81159,1.99967,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
5,1738.13,1.908,0.33333,0.84058,1.89458,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
6,1979.32,1.80065,0.42029,0.92754,1.70525,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
7,2220.91,1.64375,0.47826,0.94203,1.60791,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
8,2460.93,1.57513,0.5942,0.97101,1.40035,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
9,2678.64,1.46981,0.50725,1,1.26641,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
10,2916.89,1.38078,0.57971,0.98551,1.02005,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
11,3157.15,1.31218,0.55072,1,1.02082,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
12,3394.07,1.27624,0.63768,0.98551,1.03854,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
13,3610.86,1.17935,0.6087,1,0.96946,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
14,3856.29,1.25462,0.57971,0.98551,0.9871,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
15,4098.35,1.15958,0.63768,1,0.90418,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
16,4335.56,1.12119,0.62319,1,0.97177,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
17,4550.21,1.1582,0.6087,1,0.99234,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
18,4788.73,1.14756,0.5942,1,0.95019,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
19,5026.3,1.09645,0.5942,0.98551,1.04967,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
20,5262.92,1.1036,0.57971,1,0.79344,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
21,5472.66,1.06419,0.65217,1,0.90959,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
22,5710.86,1.08166,0.6087,0.98551,0.79812,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
23,5951.34,1.07836,0.62319,1,1.00978,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
24,6189.12,1.03412,0.65217,0.98551,0.81348,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
25,6406.16,1.11882,0.65217,1,0.85806,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
