epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,593.49,2.32742,0.18841,0.66667,2.19416,5.1e-05,1.7e-05,5.1e-05,1.7e-05,0.083051,0.083017,5.1e-05,1.7e-05
2,1175,2.24854,0.17391,0.66667,2.21618,0.000102921,3.4307e-05,0.000102921,3.4307e-05,0.0651029,0.0650343,0.000102921,3.4307e-05
3,1688.42,2.22128,0.15942,0.66667,2.15157,0.000152704,5.09012e-05,0.000152704,5.09012e-05,0.0471527,0.0470509,0.000152704,5.09012e-05
4,2000.5,2.22429,0.18841,0.66667,2.1714,0.000200348,6.67826e-05,0.000200348,6.67826e-05,0.0292003,0.0290668,0.000200348,6.67826e-05
5,2300.06,2.23109,0.17391,0.68116,2.24967,0.000245854,8.19512e-05,0.000245854,8.19512e-05,0.0112459,0.011082,0.000245854,8.19512e-05
6,2595.91,2.20793,0.2029,0.68116,2.25496,0.0002703,9.01e-05,0.0002703,9.01e-05,0.0002703,9.01e-05,0.0002703,9.01e-05
7,2890.14,2.19272,0.18841,0.68116,2.06494,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05
8,3179.24,2.18072,0.2029,0.66667,2.36597,0.00025842,8.614e-05,0.00025842,8.614e-05,0.00025842,8.614e-05,0.00025842,8.614e-05
9,3470.53,2.16519,0.18841,0.65217,2.26316,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
10,3775.36,2.14993,0.23188,0.68116,2.03406,0.00024654,8.218e-05,0.00024654,8.218e-05,0.00024654,8.218e-05,0.00024654,8.218e-05
11,4066.33,2.17119,0.23188,0.68116,2.12266,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
12,4357.66,2.15679,0.23188,0.68116,2.01793,0.00023466,7.822e-05,0.00023466,7.822e-05,0.00023466,7.822e-05,0.00023466,7.822e-05
13,4650.71,2.13303,0.21739,0.71014,2.06322,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
14,4940.76,2.11548,0.21739,0.68116,2.14855,0.00022278,7.426e-05,0.00022278,7.426e-05,0.00022278,7.426e-05,0.00022278,7.426e-05
15,5232.65,2.09618,0.23188,0.66667,1.90824,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
16,5521.87,2.08797,0.24638,0.68116,2.10086,0.0002109,7.03e-05,0.0002109,7.03e-05,0.0002109,7.03e-05,0.0002109,7.03e-05
17,5810.57,2.09577,0.26087,0.68116,1.94332,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
18,6099.61,2.07018,0.24638,0.72464,2.07093,0.00019902,6.634e-05,0.00019902,6.634e-05,0.00019902,6.634e-05,0.00019902,6.634e-05
19,6399.15,2.05706,0.28986,0.75362,2.04852,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
20,6698.91,2.08453,0.28986,0.72464,2.12974,0.00018714,6.238e-05,0.00018714,6.238e-05,0.00018714,6.238e-05,0.00018714,6.238e-05
21,7021.95,2.04743,0.28986,0.75362,1.99605,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
22,7327.76,2.02239,0.27536,0.73913,1.90992,0.00017526,5.842e-05,0.00017526,5.842e-05,0.00017526,5.842e-05,0.00017526,5.842e-05
23,7628.74,2.03475,0.27536,0.75362,2.06368,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
24,7933.9,2.01525,0.28986,0.73913,2.00811,0.00016338,5.446e-05,0.00016338,5.446e-05,0.00016338,5.446e-05,0.00016338,5.446e-05
25,8239.76,2.00059,0.36232,0.73913,2.06362,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
26,8545.26,2.00888,0.28986,0.73913,1.91019,0.0001515,5.05e-05,0.0001515,5.05e-05,0.0001515,5.05e-05,0.0001515,5.05e-05
27,8850.89,2.00247,0.28986,0.73913,1.8688,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
28,9156.19,1.99491,0.33333,0.76812,1.94838,0.00013962,4.654e-05,0.00013962,4.654e-05,0.00013962,4.654e-05,0.00013962,4.654e-05
29,9459.49,1.98645,0.36232,0.7971,1.88891,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
30,9759.68,1.96105,0.3913,0.7971,1.89184,0.00012774,4.258e-05,0.00012774,4.258e-05,0.00012774,4.258e-05,0.00012774,4.258e-05
