epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,68.9142,2.29224,0.14493,0.66667,2.31002,5.1e-05,1.7e-05,5.1e-05,1.7e-05,0.083051,0.083017,5.1e-05,1.7e-05
2,136.814,2.27741,0.14493,0.69565,2.0989,0.000100842,3.3614e-05,0.000100842,3.3614e-05,0.0651008,0.0650336,0.000100842,3.3614e-05
3,198.821,2.23186,0.18841,0.69565,2.29075,0.000146407,4.88024e-05,0.000146407,4.88024e-05,0.0471464,0.0470488,0.000146407,4.88024e-05
4,238.702,2.23696,0.21739,0.72464,2.16202,0.000187696,6.25652e-05,0.000187696,6.25652e-05,0.0291877,0.0290626,0.000187696,6.25652e-05
5,278.518,2.21024,0.2029,0.66667,2.272,0.000224707,7.49024e-05,0.000224707,7.49024e-05,0.0112247,0.0110749,0.000224707,7.49024e-05
6,318.084,2.211,0.23188,0.63768,2.48992,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
7,358.388,2.19173,0.24638,0.65217,2.23258,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
8,398.426,2.15652,0.28986,0.66667,2.14228,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
9,437.976,2.1443,0.28986,0.72464,2.16295,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
10,477.86,2.12812,0.28986,0.69565,2.16862,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
11,517.601,2.10406,0.27536,0.81159,1.87928,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
12,557.25,2.07512,0.27536,0.84058,2.10613,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
13,596.996,2.06563,0.28986,0.81159,2.02922,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
14,636.933,2.05055,0.27536,0.82609,2.01744,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
15,676.481,2.02997,0.26087,0.84058,2.1903,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05,0.00013368,4.456e-05
16,716.408,2.04657,0.27536,0.84058,1.96688,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05,0.0001218,4.06e-05
17,756.269,2.02245,0.26087,0.86957,2.10191,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05,0.00010992,3.664e-05
18,796.26,2.00641,0.24638,0.88406,1.94049,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05,9.804e-05,3.268e-05
19,836.339,2.00266,0.31884,0.88406,1.89758,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05,8.616e-05,2.872e-05
20,876.728,1.98945,0.30435,0.89855,1.81267,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05,7.428e-05,2.476e-05
21,916.869,1.95897,0.27536,0.86957,1.96173,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05,6.24e-05,2.08e-05
22,956.95,1.9724,0.34783,0.86957,2.13116,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05,5.052e-05,1.684e-05
23,996.941,1.94313,0.27536,0.85507,1.87535,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05,3.864e-05,1.288e-05
24,1036.62,1.95778,0.30435,0.82609,1.91048,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06,2.676e-05,8.92e-06
25,1076.55,1.95458,0.30435,0.89855,2.05596,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06,1.488e-05,4.96e-06
