epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.113,2.23412,0.21739,0.66667,2.20377,0.00971429,0.0032381,0.00971429,0.0032381,0.0773333,0.0708571,0.00971429,0.0032381
2,157.222,1.98235,0.26087,0.82609,1.92956,0.0189336,0.0063112,0.0189336,0.0063112,0.0532193,0.0405969,0.0189336,0.0063112
3,203.078,1.66939,0.44928,1,1.38358,0.0273609,0.0091203,0.0273609,0.0091203,0.0283133,0.0100727,0.0273609,0.0091203
4,245.866,1.41079,0.42029,0.97101,1.27624,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,285.097,1.34723,0.42029,0.91304,1.40033,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,327.844,1.39947,0.53623,1,1.33634,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,370.155,1.23673,0.50725,0.98551,1.17431,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,412.467,1.29901,0.37681,0.92754,1.99592,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,452.343,1.16032,0.49275,0.98551,1.28195,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,494.331,1.13682,0.53623,0.98551,1.17322,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,536.414,1.12829,0.53623,0.97101,1.27836,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,578.526,1.10248,0.66667,0.98551,0.82527,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,617.451,1.10726,0.6087,1,0.8756,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,659.439,1.03328,0.6087,1,1.12554,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,701.946,0.99986,0.57971,0.98551,1.19289,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,744.091,0.92222,0.66667,0.98551,0.98555,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,782.838,0.88703,0.62319,1,0.9537,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,824.857,0.88346,0.5942,0.98551,1.17621,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,866.572,0.91163,0.62319,0.98551,0.84257,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,908.358,0.81184,0.55072,0.97101,1.05024,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,946.868,0.79325,0.56522,0.98551,0.85152,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,988.851,0.81431,0.5942,0.98551,1.33697,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,1030.72,0.76321,0.57971,0.98551,1.11386,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,1072.4,0.78539,0.6087,0.98551,0.81236,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,1111.16,0.72594,0.62319,0.98551,1.14873,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
